price,area,status,bhk,bathroom,age,location,builder
49.83,1074,0,3,2.0,0.0,Pammal,Merlin Group
42.81,918,0,2,2.0,0.0,Pammal,Merlin Group
46.54,1001,0,3,2.0,0.0,Pammal,Merlin Group
42.67,917,0,2,2.0,0.0,Pammal,Merlin Group
46.72,1005,0,3,2.0,0.0,Pammal,Merlin Group
43.21,927,0,2,2.0,0.0,Pammal,Merlin Group
46.99,1011,0,3,2.0,0.0,Pammal,Merlin Group
49.42,1065,0,3,2.0,0.0,Pammal,Merlin Group
42.67,915,0,2,2.0,0.0,Pammal,Merlin Group
29.55,788,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
33.11,883,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
33.11,883,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
29.66,791,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
29.66,791,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
29.21,779,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
29.21,779,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
34.53,921,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
34.53,921,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
31.72,846,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
31.72,846,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
30.15,804,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
30.15,804,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
30.15,804,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
30.03,801,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
30.15,804,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
30.03,801,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
30.3,808,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
30.3,808,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
34.68,925,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
34.68,925,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
31.46,839,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
28.98,773,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
31.46,839,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
28.98,773,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
30.97,826,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
30.97,826,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
31.16,831,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
31.16,831,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
29.55,788,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
162.0,1450,0,3,2.0,0.0,Anna Nagar,India Builders Limited
79.54,1473,1,3,2.0,1.0,Poonamallee,Poojaa Foundation
54.1,1002,1,2,2.0,1.0,Poonamallee,Poojaa Foundation
76.57,1418,1,3,2.0,1.0,Poonamallee,Poojaa Foundation
90.46,1508,1,3,2.0,4.0,Kolapakkam,Poojaa Foundation
104.0,1745,1,3,2.0,4.0,Kolapakkam,Poojaa Foundation
104.0,1745,1,3,2.0,4.0,Kolapakkam,Poojaa Foundation
131.0,2185,1,4,2.0,4.0,Kolapakkam,Poojaa Foundation
92.98,1550,1,3,2.0,4.0,Kolapakkam,Poojaa Foundation
91.18,1520,1,2,2.0,4.0,Kolapakkam,Poojaa Foundation
162.0,3024,1,5,2.0,4.0,Kolapakkam,Poojaa Foundation
162.0,3024,1,5,2.0,4.0,Kolapakkam,Poojaa Foundation
97.0,1617,1,2,2.0,4.0,Kolapakkam,Poojaa Foundation
97.0,1617,1,2,2.0,4.0,Kolapakkam,Poojaa Foundation
80.26,1338,1,2,2.0,4.0,Kolapakkam,Poojaa Foundation
80.26,1338,1,2,2.0,4.0,Kolapakkam,Poojaa Foundation
79.54,1473,1,3,2.0,1.0,Poonamallee,Poojaa Foundation
54.1,1002,1,2,2.0,1.0,Poonamallee,Poojaa Foundation
76.57,1418,1,3,2.0,1.0,Poonamallee,Poojaa Foundation
52.43,971,1,2,2.0,1.0,Poonamallee,Poojaa Foundation
76.68,1420,1,3,3.0,1.0,Poonamallee,Poojaa Foundation
53.89,998,1,2,2.0,1.0,Poonamallee,Poojaa Foundation
53.83,997,1,2,2.0,1.0,Poonamallee,Poojaa Foundation
88.23,1634,1,3,3.0,1.0,Poonamallee,Poojaa Foundation
91.18,1520,1,2,2.0,4.0,Kolapakkam,Poojaa Foundation
162.0,3024,1,5,2.0,4.0,Kolapakkam,Poojaa Foundation
162.0,3024,1,5,2.0,4.0,Kolapakkam,Poojaa Foundation
97.0,1617,1,2,2.0,4.0,Kolapakkam,Poojaa Foundation
97.0,1617,1,2,2.0,4.0,Kolapakkam,Poojaa Foundation
80.26,1338,1,2,2.0,4.0,Kolapakkam,Poojaa Foundation
80.26,1338,1,2,2.0,4.0,Kolapakkam,Poojaa Foundation
53.83,997,1,2,2.0,1.0,Poonamallee,Poojaa Foundation
162.0,1540,0,3,2.0,0.0,Anna Nagar,India Builders Limited
162.0,1520,0,3,2.0,0.0,Anna Nagar,India Builders Limited
